System Number	$b	$j
015246314	HMNTS	lsidyv2e9f81c2
015264310	HMNTS	lsidyv2ea611a9
015264311	HMNTS	lsidyv2ea3acdc
015264312	HMNTS	lsidyv2ea962f1
015264313	HMNTS	lsidyv2ea7d74f
015264314	HMNTS	lsidyv2ea93e75
015264315	HMNTS	lsidyv2ea4fb4c
015264316	HMNTS	lsidyv2ea63a24
015264317	HMNTS	lsidyv2ea44234
015264318	HMNTS	lsidyv2ea4a275
015264319	HMNTS	lsidyv2ea8c54c
015264320	HMNTS	lsidyv2ea8f2d5
015264321	HMNTS	lsidyv2ea5fe1c
015264322	HMNTS	lsidyv2ea41380
015264323	HMNTS	lsidyv2ea70435
015264324	HMNTS	lsidyv2ea66cf6
015264325	HMNTS	lsidyv2ea4200b
015264326	HMNTS	lsidyv2ea6fab3
015264327	HMNTS	lsidyv2ea76166
015264328	HMNTS	lsidyv2ea42c09
015264329	HMNTS	lsidyv2eabee4a
015264330	HMNTS	lsidyv2ea87fd7
015264331	HMNTS	lsidyv2ea46dae
015264332	HMNTS	lsidyv2eaa06fc
015264333	HMNTS	lsidyv2ea9b7a9
015264334	HMNTS	lsidyv2ea51c73
015264335	HMNTS	lsidyv2ea4e551
015264336	HMNTS	lsidyv2ea66284
015264337	HMNTS	lsidyv2ea62d36
015264338	HMNTS	lsidyv2ea6cdac
015264339	HMNTS	lsidyv2ea6f1a8
015264340	HMNTS	lsidyv2ea810ce
015264341	HMNTS	lsidyv2ea3ee5a
015264342	HMNTS	lsidyv2ea79d8d
015264343	HMNTS	lsidyv2ea678e6
015264344	HMNTS	lsidyv2ea7c6a9
015264345	HMNTS	lsidyv2eab6488
015264346	HMNTS	lsidyv2ea91d88
015264347	HMNTS	lsidyv2ea69968
015264348	HMNTS	lsidyv2ea6909f
015264349	HMNTS	lsidyv2ea83fec
015264350	HMNTS	lsidyv2ea74285
015264351	HMNTS	lsidyv2ea6b5f5
015264352	HMNTS	lsidyv2ea7add8
015264353	HMNTS	lsidyv2ea6d48e
015264354	HMNTS	lsidyv2eac8fc8
015264355	HMNTS	lsidyv2ea6a102
015264356	HMNTS	lsidyv2eabba12
015264357	HMNTS	lsidyv2ea5a83b
015264358	HMNTS	lsidyv2eac997e
015264359	HMNTS	lsidyv2eab86ec
015264360	HMNTS	lsidyv2ea97d85
015264361	HMNTS	lsidyv2ea716bb
015264362	HMNTS	lsidyv2ea858c6
015264363	HMNTS	lsidyv2ea804c4
015264364	HMNTS	lsidyv2ea9f966
015264365	HMNTS	lsidyv2ea8d8ee
015264366	HMNTS	lsidyv2eaa21ca
015264367	HMNTS	lsidyv2ea78fa3
015264368	HMNTS	lsidyv2ea8e4ad
015264369	HMNTS	lsidyv2ea8a2cb
015264370	HMNTS	lsidyv2ea682a5
015264371	HMNTS	lsidyv2ea897df
015264372	HMNTS	lsidyv2eacaf28
015264373	HMNTS	lsidyv2ea970af
015264374	HMNTS	lsidyv2eac4c6a
015264375	HMNTS	lsidyv2ea755d5
015264376	HMNTS	lsidyv2eab89e0
015264377	HMNTS	lsidyv2ea6e224
015264378	HMNTS	lsidyv2ea8bb91
015264379	HMNTS	lsidyv2ea8b492
015264380	HMNTS	lsidyv2ea8e0df
015264381	HMNTS	lsidyv2ea74e33
015264382	HMNTS	lsidyv2ea91192
015264383	HMNTS	lsidyv2ea72712
015264384	HMNTS	lsidyv2ea6c47f
015264385	HMNTS	lsidyv2eab0950
015264386	HMNTS	lsidyv2eab4114
015264387	HMNTS	lsidyv2eaba088
015264388	HMNTS	lsidyv2ea9c2bb
015264389	HMNTS	lsidyv2ea9990d
015264390	HMNTS	lsidyv2eac55f1
015264391	HMNTS	lsidyv2ea7f94b
015264392	HMNTS	lsidyv2ea8ae62
015264393	HMNTS	lsidyv2eaa7c54
015264394	HMNTS	lsidyv2ea92632
015264395	HMNTS	lsidyv2ea8d130
015264396	HMNTS	lsidyv2ea8788e
015264397	HMNTS	lsidyv2ea837de
015264398	HMNTS	lsidyv2eaa40dd
015264399	HMNTS	lsidyv2ea9b444
015264400	HMNTS	lsidyv2ea7b802
015264401	HMNTS	lsidyv2ea71c88
015264402	HMNTS	lsidyv2ea7c04b
015264403	HMNTS	lsidyv2eac01cf
015264404	HMNTS	lsidyv2eac239b
015264405	HMNTS	lsidyv2ea98ea0
015264406	HMNTS	lsidyv2ea930a2
015264407	HMNTS	lsidyv2ea9ebd4
015264408	HMNTS	lsidyv2ea9533f
015264409	HMNTS	lsidyv2ea82ac0
015264410	HMNTS	lsidyv2eabf584
015272339	HMNTS	lsidyv3df3b000
015272340	HMNTS	lsidyv3df7eab2
015272341	HMNTS	lsidyv3dbd19e6
015272342	HMNTS	lsidyv3dbd6417
015272343	HMNTS	lsidyv3dcba282
015272344	HMNTS	lsidyv3dbe7c5e
015272345	HMNTS	lsidyv3dee1835
015272346	HMNTS	lsidyv3e27e499
015272347	HMNTS	lsidyv2ea01c42
015272348	HMNTS	lsidyv35f28c8a
015210888	HMNTS	lsidyv2cbf8f9a
015210889	HMNTS	lsidyv2c9a8465
015210890	HMNTS	lsidyv2e9f3543
015210891	HMNTS	lsidyv2c8783bf
015210892	HMNTS	lsidyv2cb6b588
015210893	HMNTS	lsidyv2cb994f8
015210894	HMNTS	lsidyv2c7fd52c
015210895	HMNTS	lsidyv2cdfaf1d
015210896	HMNTS	lsidyv2c73cbf9
015210897	HMNTS	lsidyv2cd4ddd1
